Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,Background
0.43 0.26,0.44 0.34,0.38 0.34,0.36 0.43,0.37 0.54,0.49 0.34,0.50 0.45,0.50 0.55,0.40 0.56,0.39 0.72,0.38 0.84,0.47 0.56,0.46 0.71,0.48 0.84,0.42 0.24,0.44 0.24,0.41 0.26,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.29 0.34,0.48 0.34,0.51 0.43,0.55 0.36,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.25,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.30 0.33,0.48 0.34,0.51 0.43,0.55 0.34,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.25,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.31 0.34,0.48 0.34,0.52 0.43,0.55 0.34,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.31 0.34,0.48 0.34,0.52 0.43,0.55 0.34,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.25,0.45 0.25
0.43 0.26,0.44 0.34,0.38 0.34,0.34 0.43,0.31 0.33,0.48 0.34,0.51 0.43,0.55 0.34,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.42 0.24,0.44 0.24,0.40 0.25,0.45 0.25
0.43 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.31 0.34,0.48 0.34,0.52 0.43,0.55 0.34,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.25,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.31 0.34,0.48 0.34,0.52 0.43,0.56 0.34,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.25,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.31 0.34,0.48 0.34,0.51 0.43,0.55 0.34,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.31 0.34,0.48 0.34,0.51 0.43,0.55 0.34,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.43 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.31 0.34,0.48 0.34,0.51 0.43,0.55 0.34,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.43 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.31 0.34,0.48 0.34,0.51 0.43,0.56 0.34,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.25,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.31 0.34,0.48 0.34,0.51 0.43,0.55 0.34,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.44 0.34,0.38 0.34,0.34 0.43,0.31 0.34,0.48 0.34,0.51 0.43,0.55 0.35,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.31 0.34,0.48 0.34,0.51 0.43,0.55 0.35,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.31 0.34,0.48 0.34,0.51 0.43,0.55 0.35,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.31 0.34,0.48 0.34,0.51 0.43,0.55 0.35,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.31 0.34,0.48 0.34,0.51 0.43,0.55 0.34,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.31 0.34,0.48 0.34,0.51 0.43,0.55 0.34,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.31 0.34,0.48 0.34,0.51 0.43,0.55 0.35,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.84,0.41 0.24,0.44 0.24,0.40 0.25,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.34 0.43,0.31 0.34,0.48 0.34,0.51 0.43,0.55 0.35,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.25,0.45 0.25
0.43 0.26,0.43 0.34,0.38 0.34,0.35 0.43,0.29 0.38,0.49 0.34,0.51 0.43,0.56 0.39,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.25,0.45 0.25
0.43 0.26,0.44 0.34,0.38 0.34,0.35 0.43,0.29 0.46,0.49 0.34,0.51 0.43,0.56 0.47,0.39 0.55,0.38 0.71,0.37 0.84,0.46 0.55,0.46 0.70,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.43 0.26,0.44 0.34,0.38 0.34,0.36 0.44,0.33 0.53,0.49 0.34,0.51 0.45,0.53 0.54,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.44 0.34,0.38 0.34,0.36 0.44,0.38 0.54,0.49 0.34,0.50 0.45,0.49 0.55,0.39 0.55,0.38 0.71,0.37 0.84,0.46 0.56,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.43 0.26,0.44 0.34,0.38 0.34,0.36 0.44,0.38 0.54,0.49 0.34,0.50 0.45,0.49 0.55,0.39 0.56,0.38 0.70,0.37 0.84,0.46 0.56,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.43 0.26,0.44 0.34,0.38 0.34,0.36 0.45,0.36 0.55,0.49 0.34,0.50 0.45,0.49 0.55,0.39 0.55,0.38 0.71,0.37 0.84,0.46 0.55,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.43 0.26,0.44 0.34,0.38 0.34,0.36 0.43,0.35 0.55,0.49 0.34,0.50 0.45,0.50 0.55,0.39 0.55,0.38 0.71,0.37 0.84,0.46 0.55,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.25,0.45 0.25
0.43 0.26,0.44 0.34,0.38 0.34,0.36 0.44,0.36 0.54,0.49 0.34,0.50 0.45,0.50 0.55,0.39 0.55,0.38 0.71,0.37 0.84,0.46 0.55,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.43 0.26,0.44 0.34,0.38 0.34,0.36 0.44,0.36 0.54,0.49 0.34,0.50 0.45,0.50 0.55,0.39 0.55,0.38 0.71,0.37 0.84,0.46 0.55,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.43 0.26,0.44 0.34,0.38 0.34,0.36 0.45,0.36 0.54,0.49 0.34,0.50 0.45,0.50 0.55,0.39 0.55,0.38 0.70,0.37 0.84,0.46 0.55,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.43 0.26,0.44 0.34,0.38 0.34,0.36 0.43,0.35 0.54,0.49 0.34,0.50 0.45,0.50 0.55,0.39 0.54,0.38 0.71,0.37 0.84,0.46 0.55,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.36 0.44,0.35 0.54,0.49 0.34,0.50 0.45,0.50 0.55,0.39 0.54,0.38 0.71,0.37 0.84,0.46 0.55,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.25,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.36 0.44,0.36 0.54,0.49 0.34,0.50 0.45,0.50 0.55,0.39 0.55,0.38 0.71,0.37 0.84,0.46 0.55,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.43 0.34,0.38 0.34,0.36 0.44,0.36 0.54,0.49 0.34,0.50 0.45,0.50 0.55,0.39 0.55,0.38 0.71,0.37 0.84,0.46 0.55,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.44 0.34,0.38 0.34,0.36 0.44,0.35 0.54,0.49 0.34,0.50 0.45,0.50 0.55,0.39 0.54,0.38 0.71,0.37 0.84,0.46 0.55,0.46 0.71,0.47 0.84,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.44 0.34,0.38 0.34,0.36 0.45,0.35 0.54,0.49 0.34,0.50 0.45,0.50 0.55,0.39 0.55,0.38 0.71,0.37 0.84,0.46 0.55,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.44 0.34,0.38 0.34,0.36 0.45,0.35 0.54,0.49 0.34,0.50 0.45,0.50 0.55,0.39 0.54,0.38 0.71,0.37 0.84,0.46 0.55,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.44 0.34,0.38 0.34,0.36 0.45,0.35 0.54,0.49 0.34,0.50 0.45,0.50 0.55,0.39 0.55,0.38 0.71,0.37 0.84,0.46 0.55,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.44 0.34,0.38 0.34,0.36 0.45,0.35 0.54,0.49 0.34,0.50 0.45,0.50 0.55,0.39 0.55,0.38 0.71,0.37 0.84,0.46 0.55,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
0.42 0.26,0.44 0.34,0.38 0.34,0.36 0.45,0.35 0.54,0.49 0.34,0.50 0.45,0.50 0.55,0.39 0.55,0.38 0.71,0.37 0.84,0.46 0.55,0.46 0.71,0.47 0.85,0.41 0.24,0.44 0.24,0.40 0.26,0.45 0.25
